Animal,Symptoms,Disease
Goat,"Itching, Hair loss, Weight loss, Depression, Skin lesions, Dullness, Scratching",Ringworm
Sheep,"Loss of appetite, Fever, Nasal discharge, Skin lesions, Eye discharge, Skin nodules, Swollen lymph nodes",Sheep and Goat Pox
Buffalo,"Lethargy, Recumbency, Reduced movement, Incoordination",Milk Fever
Sheep,"High fever, Swollen joints, Grunting sound, Chest pain",Black Quarter
Cow,"Recumbency, Fever, Incoordination, Paralysis, Eye discharge",Listeriosis
Goat,"Skin lesions, Loss of appetite, Nasal discharge, Depression, Eye discharge, Fever, Swollen lymph nodes, Skin nodules",Sheep and Goat Pox
Goat,"Depression, Weakness, Loss of appetite, Reduced milk yield, Dehydration, Diarrhoea, Weight loss",Johne’s Disease
Cow,"Diarrhoea, Dehydration, Lethargy, Fever",Calf Scour
Cow,"Eye discharge, Swollen lymph nodes, Skin nodules, Skin lesions",Sheep and Goat Pox
Sheep,"Weakness, Loss of appetite, Anaemia, Depression, Dehydration, Weight loss, Diarrhoea, Dullness",Amphistomiasis
Buffalo,"High fever, Cough, Diarrhoea, Dehydration, Difficulty breathing, Loss of appetite, Depression",Peste des Petits Ruminants
Cow,"Incoordination, Convulsions, Neurological signs, Paralysis",Rabies
Goat,"Facial swelling, Nasal discharge, Lameness, Jaw swelling",Blue Tongue
Goat,"Cough, Rapid breathing, Sneezing, Eye discharge, Difficulty breathing, Nasal discharge",Bovine Rhinotracheitis
Cow,"Convulsions, Foamy saliva, Restlessness, Neurological signs, Paralysis, Incoordination",Rabies
Goat,"Udder swelling, Abnormal milk, Painful udder",Mastitis
Goat,"Rapid breathing, Jaw swelling, Facial swelling, Nasal discharge, High fever",Haemorrhagic Septicaemia
Sheep,"Abortion, Weakness, Infertility, Depression, Stillbirth, Reduced fertility",Brucellosis
Sheep,"Loss of appetite, Depression, Weakness, Lethargy, Dehydration, Weight loss, Diarrhoea",Calf Scour
Sheep,"Chest pain, Swollen joints, Grunting sound, Lameness, Sudden fever",Black Quarter
Sheep,"Depression, Itching, Skin lesions, Hair loss, Dullness, Loss of appetite, Scratching",Ringworm
Sheep,"Cough, Sneezing, Nasal discharge, Rapid breathing, Eye discharge, Difficulty breathing",Bovine Rhinotracheitis
Goat,"Facial swelling, Jaw swelling, Sudden death, Rapid breathing",Haemorrhagic Septicaemia
Buffalo,"Depression, Sudden death, Dehydration, Bloat, Abdominal pain, Diarrhoea, Convulsions",Enterotoxaemia
Cow,"High fever, Dullness, Reduced movement, Swollen joints, Sudden fever",Bovine Ephemeral Fever
Sheep,"Depression, Jaw swelling, Difficulty breathing, Facial swelling, Sudden death, High fever, Nasal discharge, Rapid breathing",Haemorrhagic Septicaemia
Buffalo,"Depression, Yellow urine, Lethargy, Weakness, Weight loss, Pale mucous membranes, Anaemia",Anaplasmosis
Cow,"Bloody diarrhoea, High fever, Weakness, Sudden death, Dehydration",Salmonellosis
Cow,"Dehydration, Diarrhoea, Cough, High fever, Nasal discharge, Loss of appetite",Peste des Petits Ruminants
Sheep,"Weakness, Recumbency, Reduced movement, Incoordination",Milk Fever
Buffalo,"Pale mucous membranes, Weakness, Swollen lymph nodes, Anaemia, Lethargy",Theileriosis
Goat,"Swollen joints, Dullness, Sudden fever, Lameness, High fever, Reduced milk yield, Reduced movement, Depression",Bovine Ephemeral Fever
Cow,"Paralysis, Eye discharge, Loss of appetite, Fever, Depression, Incoordination",Listeriosis
Buffalo,"Weakness, Nasal bleeding, Depression, Foamy saliva, Sudden fever, Sudden death",Anthrax
Buffalo,"Itching, Restlessness, Hair loss, Weight loss, Dullness, Skin nodules, Scratching",Mange
Cow,"Weakness, Weight loss, High fever, Anaemia, Swollen lymph nodes, Pale mucous membranes, Lethargy",Theileriosis
Sheep,"Fever, Loss of appetite, Weight loss, Dehydration, Weakness, Diarrhoea, Depression, Lethargy",Calf Scour
Sheep,"Dehydration, Cough, Diarrhoea",Peste des Petits Ruminants
Goat,"Swollen lymph nodes, Rapid breathing, Sudden death",East Coast Fever
Cow,"Incoordination, Fever, Paralysis, Eye discharge, Depression, Neurological signs",Listeriosis
Sheep,"Swollen lymph nodes, Depression, Sudden death, High fever, Rapid breathing, Weakness",East Coast Fever
Sheep,"Dehydration, Loss of appetite, Depression, Sudden death, Bloody diarrhoea, Weakness, Diarrhoea, High fever",Salmonellosis
Sheep,"Blisters in mouth, Drooling, Reduced milk yield, Blisters on feet, Excess salivation, Lameness",Foot and Mouth Disease
Goat,"Skin lesions, Itching, Hair loss",Ringworm
Goat,"Depression, Jaw swelling, High fever, Facial swelling, Nasal discharge, Rapid breathing, Lameness",Blue Tongue
Goat,"Neurological signs, Paralysis, Convulsions, Foamy saliva",Rabies
Sheep,"Restlessness, Foamy saliva, Convulsions, Incoordination, Neurological signs, Sudden death, Paralysis, Difficulty breathing",Rabies
Goat,"Loss of appetite, Dehydration, Depression, Diarrhoea, Reduced milk yield, Weight loss",Johne’s Disease
Cow,"Diarrhoea, Weakness, Depression, Weight loss, Dullness, Dehydration, Anaemia, Loss of appetite",Amphistomiasis
Buffalo,"Loss of appetite, Reduced milk yield, Depression, Weakness, Painful udder, Abnormal milk, Udder swelling",Mastitis
Cow,"Loss of appetite, Skin lesions, Weight loss, Itching, Dullness, Depression, Hair loss",Ringworm
Sheep,"Weakness, Depression, Incoordination, Recumbency, Dullness, Reduced movement",Milk Fever
Cow,"Skin lesions, Hair loss, Dullness, Scratching, Depression, Loss of appetite, Itching, Weight loss",Ringworm
Sheep,"Weight loss, Diarrhoea, Weakness, Dullness, Bloody diarrhoea",Coccidiosis
Sheep,"Fever, Stillbirth, Infertility, Depression, Abortion, Swollen joints",Brucellosis
Cow,"Bloat, Sudden death, Diarrhoea, Abdominal pain",Enterotoxaemia
Cow,"Depression, Weakness, Painful udder, Reduced milk yield, Abnormal milk, Loss of appetite, Udder swelling, Fever",Mastitis
Goat,"Lethargy, Loss of appetite, Diarrhoea, Dehydration",Calf Scour
Cow,"Weight loss, Weakness, Bloody diarrhoea, Diarrhoea, Dehydration, Depression, Loss of appetite, Dullness",Coccidiosis
Goat,"Blisters in mouth, Blisters on feet, Excess salivation",Foot and Mouth Disease
Buffalo,"Nasal discharge, Skin lesions, Swollen lymph nodes, Eye discharge, Skin nodules, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Cow,"Recumbency, Rapid breathing, Difficulty breathing, Incoordination, Convulsions, Restlessness",Tetanus
Buffalo,"Itching, Skin lesions, Hair loss",Ringworm
Buffalo,"Scratching, Dullness, Itching, Hair loss, Skin lesions, Skin nodules, Restlessness",Mange
Goat,"Swollen lymph nodes, Depression, Lethargy, Pale mucous membranes, High fever, Anaemia",Theileriosis
Sheep,"Dehydration, Weakness, Reduced milk yield, Anaemia, Weight loss, Depression, Loss of appetite, Pale mucous membranes",Fascioliasis
Goat,"Dehydration, Diarrhoea, Cough",Peste des Petits Ruminants
Buffalo,"Weight loss, Lethargy, Pale mucous membranes, Anaemia, Swollen lymph nodes",Theileriosis
Buffalo,"Weight loss, Dullness, Anaemia, Diarrhoea, Weakness, Depression, Loss of appetite, Dehydration",Amphistomiasis
Sheep,"Weakness, High fever, Lethargy, Swollen lymph nodes, Anaemia, Pale mucous membranes, Depression",Theileriosis
Goat,"Skin lesions, Restlessness, Scratching, Itching, Skin nodules, Weight loss, Hair loss",Mange
Sheep,"Dehydration, Nasal discharge, Diarrhoea, Loss of appetite, High fever, Bloody diarrhoea, Sudden death, Depression",Rinderpest
Sheep,"Pale mucous membranes, Dark urine, Anaemia, Lethargy, Yellow urine, High fever",Babesiosis
Goat,"Skin nodules, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Skin lesions, Skin nodules, Itching, Restlessness, Scratching",Mange
Goat,"High fever, Dehydration, Bloody diarrhoea, Nasal discharge, Depression, Sudden death",Rinderpest
Buffalo,"Grunting sound, Swollen joints, Sudden fever, Chest pain",Black Quarter
Sheep,"Convulsions, Incoordination, Recumbency, Neurological signs, Reduced movement, Restlessness, Difficulty breathing",Tetanus
Sheep,"Weight loss, Loss of appetite, Diarrhoea, Weakness, Depression, Anaemia, Dehydration",Amphistomiasis
Cow,"Depression, Dullness, Diarrhoea, Dehydration, Weakness, Weight loss, Reduced milk yield",Johne’s Disease
Buffalo,"Anaemia, Yellow urine, Pale mucous membranes",Anaplasmosis
Cow,"Sneezing, Eye discharge, Nasal discharge, Cough, Fever, Depression, Rapid breathing",Bovine Rhinotracheitis
Cow,"Paralysis, Convulsions, Neurological signs, Difficulty breathing",Rabies
Cow,"Reduced milk yield, Anaemia, Weight loss",Fascioliasis
Sheep,"Cough, Diarrhoea, Dehydration",Peste des Petits Ruminants
Goat,"Blisters on feet, Lameness, Drooling, Hoof lesions, Blisters in mouth, Excess salivation",Foot and Mouth Disease
Buffalo,"Reduced milk yield, Blisters on feet, Lameness, Excess salivation, Hoof lesions, Blisters in mouth, Drooling",Foot and Mouth Disease
Cow,"Diarrhoea, Difficulty breathing, Cough, Dehydration",Peste des Petits Ruminants
Buffalo,"Fever, Eye discharge, Incoordination, Neurological signs, Paralysis",Listeriosis
Sheep,"Bloody diarrhoea, Dullness, Weight loss, Diarrhoea",Coccidiosis
Goat,"Diarrhoea, Loss of appetite, Reduced milk yield, Weight loss, Dullness",Johne’s Disease
Cow,"Nasal discharge, Rapid breathing, Depression, Facial swelling, Jaw swelling, Sudden death, Difficulty breathing",Haemorrhagic Septicaemia
Cow,"Depression, Pale mucous membranes, Anaemia, Weight loss, Swollen lymph nodes, Lethargy, Weakness, High fever",Theileriosis
Sheep,"Reduced milk yield, Loss of appetite, Fever, Abnormal milk, Udder swelling, Depression, Weakness, Painful udder",Mastitis
Buffalo,"Loss of appetite, Dehydration, Weight loss, Diarrhoea, Depression, Reduced milk yield, Dullness",Johne’s Disease
Sheep,"Loss of appetite, Weakness, Lethargy, Dehydration, Diarrhoea",Calf Scour
Cow,"Skin nodules, Depression, Nasal discharge, Eye discharge, Swollen lymph nodes, Skin lesions, Fever",Sheep and Goat Pox
Cow,"Weight loss, Yellow urine, Pale mucous membranes, Anaemia",Anaplasmosis
Cow,"Udder swelling, Loss of appetite, Depression, Abnormal milk, Painful udder",Mastitis
Sheep,"Dark urine, Pale mucous membranes, Yellow urine",Babesiosis
Cow,"Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Difficulty breathing, Neurological signs, Incoordination, Restlessness, Convulsions, Foamy saliva, Sudden death, Paralysis",Rabies
Goat,"Paralysis, Eye discharge, Incoordination, Neurological signs, Depression, Recumbency, Fever",Listeriosis
Cow,"Depression, Sudden death, Dehydration, Bloody diarrhoea",Rinderpest
Cow,"Anaemia, Diarrhoea, Dehydration",Amphistomiasis
Goat,"Hoof lesions, Cracked hooves, Lameness",Foot Rot
Goat,"Reduced milk yield, Weakness, Loss of appetite, Depression, Diarrhoea, Dullness, Weight loss, Dehydration",Johne’s Disease
Goat,"Depression, Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Buffalo,"Recumbency, Convulsions, Incoordination",Tetanus
Goat,"Pale mucous membranes, Dark urine, Yellow urine",Babesiosis
Buffalo,"Nasal discharge, Swollen lymph nodes, Lameness, Reduced milk yield, Skin lesions, Skin nodules, High fever",Lumpy Skin Disease (Lumpy Virus)
Cow,"Dullness, Loss of appetite, Depression, Anaemia, Diarrhoea, Dehydration",Amphistomiasis
Sheep,"Recumbency, Weakness, Incoordination, Reduced movement, Depression, Dullness, Lethargy, Loss of appetite",Milk Fever
Sheep,"Reduced milk yield, Depression, Loss of appetite, Anaemia, Weakness, Dehydration, Weight loss",Fascioliasis
Buffalo,"Loss of appetite, Stillbirth, Reduced fertility, Weakness, Abortion",Campylobacter Abortion
Cow,"Restlessness, Recumbency, Reduced movement, Difficulty breathing, Convulsions, Rapid breathing, Incoordination, Neurological signs",Tetanus
Buffalo,"Sudden death, Diarrhoea, Abdominal pain, Bloat",Enterotoxaemia
Cow,"Reduced milk yield, Eye discharge, Swollen lymph nodes, Lameness, Nasal discharge, Skin nodules, Skin lesions",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Hoof lesions, Lameness, Cracked hooves",Foot Rot
Cow,"Convulsions, Dehydration, Bloat, Sudden death, Bloody diarrhoea, Abdominal pain, Depression, Diarrhoea",Enterotoxaemia
Goat,"Depression, Swollen lymph nodes, Nasal discharge, Sudden death, High fever, Difficulty breathing, Rapid breathing",East Coast Fever
Buffalo,"Depression, Abortion, Weakness, Fever, Infertility, Stillbirth, Reduced fertility, Loss of appetite",Campylobacter Abortion
Sheep,"Fever, Stillbirth, Weakness, Reduced fertility, Abortion, Infertility, Swollen joints, Depression",Brucellosis
Sheep,"Depression, Fever, Sneezing, Rapid breathing, Cough, Nasal discharge, Eye discharge, Difficulty breathing",Bovine Rhinotracheitis
Goat,"Foamy saliva, Sudden death, Restlessness, Neurological signs, Paralysis, Convulsions",Rabies
Buffalo,"Skin lesions, Weight loss, Skin nodules, Itching, Dullness, Restlessness, Scratching",Mange
Buffalo,"Bloody diarrhoea, Diarrhoea, Sudden death, Weakness, Dehydration, High fever",Salmonellosis
Cow,"Swollen joints, Grunting sound, Chest pain, Lameness",Black Quarter
Buffalo,"Reduced milk yield, Lameness, Blisters in mouth, Drooling, Excess salivation, Blisters on feet",Foot and Mouth Disease
Goat,"Sneezing, Cough, Depression, Eye discharge, Difficulty breathing, Rapid breathing",Bovine Rhinotracheitis
Sheep,"Painful udder, Abnormal milk, Udder swelling",Mastitis
Goat,"Dullness, Diarrhoea, Loss of appetite, Depression, Dehydration, Weight loss, Bloody diarrhoea, Weakness",Coccidiosis
Goat,"Loss of appetite, Depression, Skin lesions, Swollen lymph nodes, Skin nodules, Nasal discharge",Sheep and Goat Pox
Buffalo,"Weight loss, Diarrhoea, Loss of appetite, Depression, Reduced milk yield",Johne’s Disease
Goat,"Recumbency, Reduced movement, Dullness, Incoordination",Milk Fever
Sheep,"Weakness, Weight loss, Dehydration, Loss of appetite, Reduced milk yield, Anaemia",Fascioliasis
Sheep,"Dehydration, Bloody diarrhoea, Diarrhoea, Sudden death, High fever",Rinderpest
Cow,"Fever, Depression, Swollen joints, Infertility, Weakness, Abortion, Stillbirth, Reduced fertility",Brucellosis
Cow,"Dehydration, Weakness, Depression, Lethargy, Loss of appetite, Fever, Diarrhoea",Calf Scour
Sheep,"Lethargy, Reduced movement, Recumbency, Loss of appetite, Weakness, Incoordination",Milk Fever
Cow,"Lethargy, Reduced movement, Incoordination, Recumbency",Milk Fever
Goat,"Swollen joints, Recumbency, Loss of appetite, Hoof lesions, Lameness, Cracked hooves",Foot Rot
Sheep,"Dehydration, Lethargy, Diarrhoea",Calf Scour
Goat,"Grunting sound, Chest pain, High fever, Lameness, Reduced movement, Sudden fever, Swollen joints",Black Quarter
Buffalo,"Hair loss, Itching, Skin lesions",Ringworm
Goat,"Bloody diarrhoea, Sudden death, Abdominal pain, Diarrhoea, Bloat",Enterotoxaemia
Sheep,"Eye discharge, Skin nodules, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"Pale mucous membranes, Yellow urine, Fever, Anaemia",Anaplasmosis
Cow,"Rapid breathing, Sudden death, Depression, Weakness, Swollen lymph nodes, Nasal discharge",East Coast Fever
Buffalo,"Painful udder, Abnormal milk, Weakness, Udder swelling",Mastitis
Cow,"Incoordination, Recumbency, Loss of appetite, Reduced movement, Depression",Milk Fever
Buffalo,"Depression, Weight loss, Diarrhoea, Weakness, Bloody diarrhoea, Loss of appetite, Dullness",Coccidiosis
Goat,"Paralysis, Neurological signs, Convulsions",Rabies
Buffalo,"High fever, Skin nodules, Lameness, Reduced milk yield, Nasal discharge, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Weakness, Dark urine, Yellow urine, Pale mucous membranes",Babesiosis
Buffalo,"Depression, Hair loss, Loss of appetite, Scratching, Weight loss, Skin lesions, Itching",Ringworm
Goat,"Infertility, Abortion, Weakness, Fever, Stillbirth, Depression",Brucellosis
Sheep,"Sudden death, Abdominal pain, Bloat",Enterotoxaemia
Cow,"Rapid breathing, Swollen lymph nodes, Sudden death, Weakness",East Coast Fever
Goat,"Rapid breathing, Incoordination, Recumbency, Neurological signs, Difficulty breathing, Convulsions, Restlessness",Tetanus
Buffalo,"Weight loss, Dehydration, Diarrhoea, Anaemia",Amphistomiasis
Goat,"Diarrhoea, Dullness, Dehydration, Depression, Reduced milk yield, Loss of appetite, Weight loss",Johne’s Disease
Sheep,"Incoordination, Neurological signs, Eye discharge, Paralysis",Listeriosis
Buffalo,"Chest pain, Swollen joints, Reduced movement, Recumbency, Grunting sound",Black Quarter
Buffalo,"Depression, Nasal discharge, Jaw swelling, Lameness, Rapid breathing, Facial swelling, Difficulty breathing",Blue Tongue
Sheep,"Itching, Hair loss, Depression, Skin lesions, Weight loss, Loss of appetite",Ringworm
Goat,"Depression, Diarrhoea, Sudden death, Abdominal pain, Bloat",Enterotoxaemia
Sheep,"Weight loss, Depression, Dullness, Dehydration, Loss of appetite, Weakness, Diarrhoea, Reduced milk yield",Johne’s Disease
Cow,"Lethargy, Anaemia, Swollen lymph nodes, Weakness",Theileriosis
Sheep,"Weight loss, Pale mucous membranes, Depression, High fever, Lethargy, Weakness, Swollen lymph nodes, Anaemia",Theileriosis
Sheep,"Weakness, Stillbirth, Depression, Infertility, Loss of appetite, Reduced fertility, Fever, Abortion",Campylobacter Abortion
Cow,"Dehydration, High fever, Loss of appetite, Nasal discharge, Cough, Diarrhoea",Peste des Petits Ruminants
Cow,"Incoordination, Eye discharge, Paralysis, Recumbency, Neurological signs, Loss of appetite",Listeriosis
Sheep,"Lameness, Sudden fever, Reduced movement, Depression, Swollen joints, Reduced milk yield, High fever, Dullness",Bovine Ephemeral Fever
Goat,"Depression, Abdominal pain, Sudden death, Bloat",Enterotoxaemia
Sheep,"Skin nodules, Skin lesions, Depression, Swollen lymph nodes",Sheep and Goat Pox
Sheep,"Swollen lymph nodes, Skin nodules, Nasal discharge, Skin lesions",Sheep and Goat Pox
Sheep,"Weight loss, Dullness, Weakness, Bloody diarrhoea, Loss of appetite",Coccidiosis
Goat,"Anaemia, Depression, Diarrhoea, Dehydration",Amphistomiasis
Buffalo,"Lethargy, Dullness, Incoordination, Reduced movement, Recumbency",Milk Fever
Buffalo,"Recumbency, Incoordination, Eye discharge, Loss of appetite, Paralysis",Listeriosis
Buffalo,"Pale mucous membranes, Reduced milk yield, Anaemia, Weakness, Weight loss",Fascioliasis
